Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
168.24,2.568,3.6379,0.27488,2.8696,4.2926,64.637,17.96,26.694,1033.6,0.14628,6.0468,0.11747,supercritical
168.55,2.568,3.6313,0.27539,2.8752,4.3008,64.686,17.972,26.704,1034.4,0.14411,6.0542,0.11766,supercritical
168.85,2.568,3.6246,0.27589,2.8808,4.309,64.734,17.984,26.714,1035.2,0.14195,6.0616,0.11785,supercritical
169.16,2.568,3.618,0.27639,2.8863,4.3172,64.783,17.996,26.725,1036,0.1398,6.0689,0.11805,supercritical
169.47,2.568,3.6114,0.2769,2.8919,4.3253,64.831,18.008,26.735,1036.8,0.13766,6.0763,0.11824,supercritical
169.77,2.568,3.6049,0.2774,2.8975,4.3335,64.879,18.02,26.745,1037.6,0.13553,6.0837,0.11843,supercritical
170.08,2.568,3.5984,0.2779,2.9031,4.3417,64.927,18.032,26.756,1038.4,0.13341,6.0911,0.11862,supercritical
170.38,2.568,3.5919,0.27841,2.9087,4.3499,64.975,18.044,26.766,1039.2,0.1313,6.0985,0.11881,supercritical
170.69,2.568,3.5854,0.27891,2.9142,4.3581,65.023,18.056,26.776,1040,0.1292,6.1059,0.11901,supercritical
171,2.568,3.5789,0.27941,2.9198,4.3663,65.071,18.068,26.786,1040.8,0.1271,6.1132,0.1192,supercritical
171.3,2.568,3.5725,0.27992,2.9254,4.3745,65.119,18.08,26.796,1041.6,0.12502,6.1206,0.11939,supercritical
171.61,2.568,3.5661,0.28042,2.931,4.3827,65.167,18.092,26.806,1042.4,0.12295,6.128,0.11958,supercritical
171.91,2.568,3.5597,0.28092,2.9366,4.3909,65.215,18.104,26.816,1043.1,0.12089,6.1353,0.11977,supercritical
172.22,2.568,3.5533,0.28143,2.9422,4.3991,65.263,18.115,26.826,1043.9,0.11883,6.1427,0.11996,supercritical
172.53,2.568,3.547,0.28193,2.9479,4.4073,65.31,18.127,26.836,1044.7,0.11679,6.15,0.12015,supercritical
172.83,2.568,3.5407,0.28243,2.9535,4.4156,65.358,18.139,26.846,1045.5,0.11476,6.1574,0.12034,supercritical
173.14,2.568,3.5344,0.28294,2.9591,4.4238,65.406,18.15,26.856,1046.3,0.11273,6.1647,0.12053,supercritical
173.44,2.568,3.5281,0.28344,2.9647,4.432,65.453,18.162,26.866,1047.1,0.11072,6.1721,0.12072,supercritical
173.75,2.568,3.5219,0.28394,2.9703,4.4402,65.5,18.173,26.876,1047.9,0.10871,6.1794,0.12092,supercritical
174.06,2.568,3.5156,0.28444,2.9759,4.4485,65.548,18.185,26.886,1048.7,0.10671,6.1867,0.12111,supercritical
174.36,2.568,3.5094,0.28495,2.9816,4.4567,65.595,18.196,26.896,1049.5,0.10472,6.1941,0.1213,supercritical
