Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/mol),Enthalpy (kJ/mol),Entropy (J/mol*K),Cv (J/mol*K),Cp (J/mol*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
331.65,10,118.72,0.0084232,6.3641,9.0594,168.41,21.808,33.57,358.55,1.6711,24.614,0.033242,supercritical
333.11,10,118.09,0.0084679,6.3987,9.1083,168.56,21.812,33.53,359.39,1.6562,24.681,0.033329,supercritical
334.57,10,117.47,0.0085126,6.4333,9.1572,168.7,21.816,33.492,360.23,1.6414,24.749,0.033416,supercritical
336.02,10,116.86,0.0085571,6.4679,9.2061,168.85,21.82,33.455,361.06,1.6267,24.817,0.033503,supercritical
337.48,10,116.26,0.0086017,6.5025,9.2549,168.99,21.824,33.418,361.89,1.6122,24.884,0.033591,supercritical
338.94,10,115.66,0.0086461,6.537,9.3036,169.14,21.828,33.383,362.71,1.5978,24.952,0.033679,supercritical
340.4,10,115.07,0.0086905,6.5715,9.3523,169.28,21.833,33.348,363.53,1.5835,25.019,0.033766,supercritical
341.86,10,114.48,0.0087348,6.6059,9.401,169.42,21.838,33.315,364.35,1.5694,25.087,0.033854,supercritical
343.32,10,113.91,0.008779,6.6404,9.4496,169.57,21.843,33.282,365.17,1.5554,25.154,0.033943,supercritical
344.78,10,113.34,0.0088232,6.6748,9.4981,169.71,21.848,33.251,365.98,1.5415,25.221,0.034031,supercritical
346.24,10,112.77,0.0088673,6.7092,9.5466,169.85,21.853,33.22,366.79,1.5278,25.289,0.034119,supercritical
347.7,10,112.22,0.0089113,6.7436,9.5951,169.99,21.859,33.19,367.59,1.5142,25.356,0.034208,supercritical
349.16,10,111.67,0.0089552,6.7779,9.6435,170.13,21.864,33.161,368.39,1.5007,25.424,0.034297,supercritical
350.62,10,111.12,0.0089991,6.8122,9.6919,170.26,21.87,33.132,369.19,1.4873,25.491,0.034386,supercritical
352.08,10,110.58,0.009043,6.8466,9.7402,170.4,21.876,33.104,369.99,1.4741,25.558,0.034475,supercritical
353.54,10,110.05,0.0090868,6.8808,9.7885,170.54,21.882,33.078,370.78,1.4609,25.625,0.034564,supercritical
355,10,109.52,0.0091305,6.9151,9.8367,170.68,21.889,33.051,371.57,1.4479,25.693,0.034653,supercritical
356.46,10,109,0.0091741,6.9494,9.885,170.81,21.895,33.026,372.35,1.435,25.76,0.034742,supercritical
357.92,10,108.49,0.0092177,6.9836,9.9331,170.95,21.902,33.001,373.14,1.4222,25.827,0.034832,supercritical
359.38,10,107.98,0.0092613,7.0178,9.9813,171.08,21.909,32.977,373.92,1.4096,25.894,0.034922,supercritical
360.83,10,107.47,0.0093047,7.052,10.029,171.21,21.916,32.954,374.69,1.397,25.961,0.035011,supercritical
362.29,10,106.97,0.0093482,7.0862,10.077,171.35,21.923,32.931,375.47,1.3846,26.028,0.035101,supercritical
363.75,10,106.48,0.0093915,7.1203,10.126,171.48,21.93,32.909,376.24,1.3722,26.095,0.035191,supercritical
365.21,10,105.99,0.0094348,7.1545,10.174,171.61,21.938,32.888,377,1.36,26.162,0.035281,supercritical
366.67,10,105.51,0.0094781,7.1886,10.222,171.74,21.945,32.867,377.77,1.3479,26.229,0.035371,supercritical
