Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
385.12	20.265	6.1927	0.16148	225.02	327.28	5.2036	0.69911	1.0928	412.07	0.83766	29.564	0.040667	supercritical
388.36	20.265	6.1318	0.16308	227.54	330.82	5.2127	0.69959	1.0903	413.57	0.82182	29.678	0.040814	supercritical
391.61	20.265	6.0723	0.16468	230.06	334.35	5.2218	0.70009	1.0879	415.07	0.80617	29.793	0.040962	supercritical
394.85	20.265	6.0141	0.16628	232.58	337.88	5.2307	0.7006	1.0856	416.56	0.79071	29.908	0.041113	supercritical
398.09	20.265	5.9572	0.16786	235.09	341.4	5.2396	0.70114	1.0835	418.04	0.77545	30.025	0.041264	supercritical
401.33	20.265	5.9015	0.16945	237.59	344.91	5.2484	0.70169	1.0815	419.51	0.76037	30.141	0.041418	supercritical
404.58	20.265	5.847	0.17103	240.1	348.41	5.2571	0.70227	1.0795	420.98	0.74549	30.259	0.041573	supercritical
407.82	20.265	5.7936	0.1726	242.6	351.91	5.2657	0.70286	1.0777	422.44	0.73079	30.377	0.04173	supercritical
411.06	20.265	5.7414	0.17417	245.09	355.4	5.2742	0.70347	1.0759	423.89	0.71628	30.495	0.041887	supercritical
414.3	20.265	5.6902	0.17574	247.59	358.88	5.2827	0.70409	1.0743	425.33	0.70196	30.614	0.042047	supercritical
417.55	20.265	5.6401	0.1773	250.08	362.37	5.291	0.70473	1.0727	426.77	0.68782	30.734	0.042207	supercritical
420.79	20.265	5.5909	0.17886	252.57	365.84	5.2993	0.70538	1.0712	428.2	0.67387	30.853	0.042369	supercritical
424.03	20.265	5.5428	0.18042	255.06	369.31	5.3076	0.70605	1.0698	429.62	0.6601	30.974	0.042531	supercritical
427.28	20.265	5.4955	0.18197	257.54	372.78	5.3157	0.70673	1.0685	431.03	0.64651	31.094	0.042695	supercritical
430.52	20.265	5.4492	0.18351	260.02	376.24	5.3238	0.70743	1.0672	432.44	0.6331	31.215	0.04286	supercritical
433.76	20.265	5.4038	0.18506	262.5	379.7	5.3318	0.70813	1.066	433.84	0.61986	31.336	0.043026	supercritical
437	20.265	5.3592	0.1866	264.98	383.16	5.3397	0.70885	1.0649	435.23	0.6068	31.457	0.043193	supercritical
440.25	20.265	5.3154	0.18813	267.46	386.61	5.3476	0.70958	1.0638	436.61	0.59391	31.578	0.04336	supercritical
443.49	20.265	5.2725	0.18967	269.94	390.06	5.3554	0.71032	1.0628	437.99	0.58119	31.7	0.043529	supercritical
446.73	20.265	5.2303	0.19119	272.42	393.5	5.3631	0.71108	1.0619	439.36	0.56864	31.822	0.043698	supercritical
449.97	20.265	5.1888	0.19272	274.89	396.94	5.3708	0.71184	1.061	440.73	0.55626	31.944	0.043868	supercritical
453.22	20.265	5.1481	0.19424	277.37	400.38	5.3784	0.71261	1.0602	442.09	0.54404	32.066	0.044039	supercritical
