Temperature (K),Pressure (MPa),Density (mol/l),Volume (l/mol),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
437.96,20.265,5.1056,0.19586,4123,6091.9,37.027,10.481,14.675,1733.9,-0.49715,11.771,0.2584,supercritical
439.6,20.265,5.088,0.19654,4140.3,6116.1,37.082,10.481,14.674,1736.6,-0.49794,11.799,0.25903,supercritical
441.24,20.265,5.0704,0.19722,4157.6,6140.2,37.137,10.481,14.673,1739.2,-0.49872,11.828,0.25966,supercritical
442.89,20.265,5.053,0.1979,4174.8,6164.3,37.192,10.482,14.672,1741.9,-0.4995,11.857,0.26029,supercritical
444.53,20.265,5.0357,0.19858,4192.1,6188.4,37.246,10.482,14.671,1744.6,-0.50027,11.886,0.26093,supercritical
446.17,20.265,5.0186,0.19926,4209.4,6212.5,37.3,10.482,14.67,1747.2,-0.50104,11.915,0.26156,supercritical
447.82,20.265,5.0015,0.19994,4226.7,6236.6,37.354,10.482,14.669,1749.9,-0.5018,11.943,0.26219,supercritical
449.46,20.265,4.9846,0.20062,4244,6260.7,37.408,10.482,14.668,1752.5,-0.50255,11.972,0.26282,supercritical
451.1,20.265,4.9678,0.2013,4261.2,6284.8,37.461,10.482,14.667,1755.2,-0.5033,12.001,0.26345,supercritical
452.75,20.265,4.9511,0.20198,4278.5,6308.9,37.515,10.482,14.667,1757.8,-0.50405,12.03,0.26407,supercritical
454.39,20.265,4.9345,0.20266,4295.8,6333,37.568,10.482,14.666,1760.5,-0.50478,12.058,0.2647,supercritical
456.03,20.265,4.918,0.20334,4313.1,6357.1,37.621,10.482,14.665,1763.1,-0.50552,12.087,0.26533,supercritical
457.68,20.265,4.9016,0.20401,4330.3,6381.2,37.674,10.482,14.664,1765.7,-0.50625,12.116,0.26596,supercritical
459.32,20.265,4.8854,0.20469,4347.6,6405.3,37.726,10.482,14.663,1768.4,-0.50697,12.144,0.26659,supercritical
460.96,20.265,4.8692,0.20537,4364.9,6429.4,37.778,10.482,14.662,1771,-0.50768,12.173,0.26721,supercritical
462.61,20.265,4.8532,0.20605,4382.2,6453.5,37.831,10.482,14.661,1773.6,-0.5084,12.201,0.26784,supercritical
464.25,20.265,4.8373,0.20673,4399.4,6477.6,37.883,10.482,14.66,1776.2,-0.5091,12.23,0.26846,supercritical
465.89,20.265,4.8214,0.20741,4416.7,6501.7,37.934,10.483,14.659,1778.9,-0.5098,12.258,0.26909,supercritical
467.54,20.265,4.8057,0.20809,4434,6525.8,37.986,10.483,14.658,1781.5,-0.5105,12.287,0.26971,supercritical
469.18,20.265,4.7901,0.20876,4451.2,6549.9,38.037,10.483,14.658,1784.1,-0.51119,12.316,0.27034,supercritical
470.82,20.265,4.7746,0.20944,4468.5,6574,38.089,10.483,14.657,1786.7,-0.51187,12.344,0.27096,supercritical
472.47,20.265,4.7592,0.21012,4485.8,6598.1,38.14,10.483,14.656,1789.3,-0.51256,12.372,0.27158,supercritical
474.11,20.265,4.7439,0.2108,4503.1,6622.1,38.191,10.483,14.655,1791.9,-0.51323,12.401,0.27221,supercritical
475.75,20.265,4.7287,0.21148,4520.3,6646.2,38.241,10.483,14.654,1794.5,-0.5139,12.429,0.27283,supercritical
477.4,20.265,4.7135,0.21215,4537.6,6670.3,38.292,10.483,14.654,1797,-0.51457,12.458,0.27345,supercritical
479.04,20.265,4.6985,0.21283,4554.8,6694.4,38.342,10.483,14.653,1799.6,-0.51523,12.486,0.27407,supercritical
480.68,20.265,4.6836,0.21351,4572.1,6718.5,38.392,10.483,14.652,1802.2,-0.51588,12.515,0.27469,supercritical
482.33,20.265,4.6688,0.21419,4589.4,6742.5,38.442,10.483,14.651,1804.8,-0.51653,12.543,0.27531,supercritical
483.97,20.265,4.6541,0.21487,4606.6,6766.6,38.492,10.483,14.651,1807.4,-0.51718,12.571,0.27594,supercritical
485.61,20.265,4.6394,0.21554,4623.9,6790.7,38.542,10.483,14.65,1809.9,-0.51782,12.6,0.27656,supercritical
487.26,20.265,4.6249,0.21622,4641.2,6814.8,38.591,10.483,14.649,1812.5,-0.51845,12.628,0.27718,supercritical
488.9,20.265,4.6104,0.2169,4658.4,6838.9,38.641,10.483,14.648,1815,-0.51909,12.656,0.27779,supercritical
490.54,20.265,4.5961,0.21758,4675.7,6862.9,38.69,10.484,14.648,1817.6,-0.51971,12.684,0.27841,supercritical
492.19,20.265,4.5818,0.21825,4693,6887,38.739,10.484,14.647,1820.2,-0.52033,12.713,0.27903,supercritical
493.83,20.265,4.5676,0.21893,4710.2,6911.1,38.788,10.484,14.646,1822.7,-0.52095,12.741,0.27965,supercritical
495.47,20.265,4.5535,0.21961,4727.5,6935.1,38.836,10.484,14.646,1825.3,-0.52156,12.769,0.28027,supercritical
497.12,20.265,4.5395,0.22029,4744.7,6959.2,38.885,10.484,14.645,1827.8,-0.52217,12.797,0.28089,supercritical
498.76,20.265,4.5256,0.22096,4762,6983.3,38.933,10.484,14.644,1830.3,-0.52277,12.826,0.2815,supercritical
500.4,20.265,4.5118,0.22164,4779.3,7007.3,38.981,10.484,14.644,1832.9,-0.52337,12.854,0.28212,supercritical
502.05,20.265,4.4981,0.22232,4796.5,7031.4,39.029,10.484,14.643,1835.4,-0.52397,12.882,0.28274,supercritical
503.69,20.265,4.4844,0.223,4813.8,7055.5,39.077,10.484,14.643,1837.9,-0.52456,12.91,0.28335,supercritical
505.34,20.265,4.4708,0.22367,4831,7079.5,39.125,10.484,14.642,1840.4,-0.52514,12.938,0.28397,supercritical
506.98,20.265,4.4573,0.22435,4848.3,7103.6,39.173,10.485,14.641,1843,-0.52572,12.966,0.28459,supercritical
508.62,20.265,4.4439,0.22503,4865.5,7127.7,39.22,10.485,14.641,1845.5,-0.5263,12.994,0.2852,supercritical
510.27,20.265,4.4306,0.2257,4882.8,7151.7,39.267,10.485,14.64,1848,-0.52687,13.022,0.28582,supercritical
511.91,20.265,4.4174,0.22638,4900,7175.8,39.314,10.485,14.64,1850.5,-0.52744,13.05,0.28643,supercritical
513.55,20.265,4.4042,0.22706,4917.3,7199.8,39.361,10.485,14.639,1853,-0.528,13.078,0.28704,supercritical
515.2,20.265,4.3911,0.22773,4934.6,7223.9,39.408,10.485,14.639,1855.5,-0.52856,13.106,0.28766,supercritical
516.84,20.265,4.3781,0.22841,4951.8,7247.9,39.455,10.485,14.638,1858,-0.52911,13.134,0.28827,supercritical
518.48,20.265,4.3652,0.22909,4969.1,7272,39.501,10.486,14.638,1860.5,-0.52966,13.162,0.28889,supercritical
