x_mm,r_mm
-240.73086,41.93708
-240.53086,41.93708
-240.33086,41.93708
-240.13086,41.93708
-239.93086,41.93708
-239.73086,41.93708
-239.53086,41.93708
-239.33086,41.93708
-239.13086,41.93708
-238.93086,41.93708
-238.73086,41.93708
-238.53086,41.93708
-238.33086,41.93708
-238.13086,41.93708
-237.93086,41.93708
-237.73086,41.93708
-237.53086,41.93708
-237.33086,41.93708
-237.13086,41.93708
-236.93086,41.93708
-236.73086,41.93708
-236.53086,41.93708
-236.33086,41.93708
-236.13086,41.93708
-235.93086,41.93708
-235.73086,41.93708
-235.53086,41.93708
-235.33086,41.93708
-235.13086,41.93708
-234.93086,41.93708
-234.73086,41.93708
-234.53086,41.93708
-234.33086,41.93708
-234.13086,41.93708
-233.93086,41.93708
-233.73086,41.93708
-233.53086,41.93708
-233.33086,41.93708
-233.13086,41.93708
-232.93086,41.93708
-232.73086,41.93708
-232.53086,41.93708
-232.33086,41.93708
-232.13086,41.93708
-231.93086,41.93708
-231.73086,41.93708
-231.53086,41.93708
-231.33086,41.93708
-231.13086,41.93708
-230.93086,41.93708
-230.73086,41.93708
-230.53086,41.93708
-230.33086,41.93708
-230.13086,41.93708
-229.93086,41.93708
-229.73086,41.93708
-229.53086,41.93708
-229.33086,41.93708
-229.13086,41.93708
-228.93086,41.93708
-228.73086,41.93708
-228.53086,41.93708
-228.33086,41.93708
-228.13086,41.93708
-227.93086,41.93708
-227.73086,41.93708
-227.53086,41.93708
-227.33086,41.93708
-227.13086,41.93708
-226.93086,41.93708
-226.73086,41.93708
-226.53086,41.93708
-226.33086,41.93708
-226.13086,41.93708
-225.93086,41.93708
-225.73086,41.93708
-225.53086,41.93708
-225.33086,41.93708
-225.13086,41.93708
-224.93086,41.93708
-224.73086,41.93708
-224.53086,41.93708
-224.33086,41.93708
-224.13086,41.93708
-223.93086,41.93708
-223.73086,41.93708
-223.53086,41.93708
-223.33086,41.93708
-223.13086,41.93708
-222.93086,41.93708
-222.73086,41.93708
-222.53086,41.93708
-222.33086,41.93708
-222.13086,41.93708
-221.93086,41.93708
-221.73086,41.93708
-221.53086,41.93708
-221.33086,41.93708
-221.13086,41.93708
-220.93086,41.93708
-220.73086,41.93708
-220.53086,41.93708
-220.33086,41.93708
-220.13086,41.93708
-219.93086,41.93708
-219.73086,41.93708
-219.53086,41.93708
-219.33086,41.93708
-219.13086,41.93708
-218.93086,41.93708
-218.73086,41.93708
-218.53086,41.93708
-218.33086,41.93708
-218.13086,41.93708
-217.93086,41.93708
-217.73086,41.93708
-217.53086,41.93708
-217.33086,41.93708
-217.13086,41.93708
-216.93086,41.93708
-216.73086,41.93708
-216.53086,41.93708
-216.33086,41.93708
-216.13086,41.93708
-215.93086,41.93708
-215.73086,41.93708
-215.53086,41.93708
-215.33086,41.93708
-215.13086,41.93708
-214.93086,41.93708
-214.73086,41.93708
-214.53086,41.93708
-214.33086,41.93708
-214.13086,41.93708
-213.93086,41.93708
-213.73086,41.93708
-213.53086,41.93708
-213.33086,41.93708
-213.13086,41.93708
-212.93086,41.93708
-212.73086,41.93708
-212.53086,41.93708
-212.33086,41.93708
-212.13086,41.93708
-211.93086,41.93708
-211.73086,41.93708
-211.53086,41.93708
-211.33086,41.93708
-211.13086,41.93708
-210.93086,41.93708
-210.73086,41.93708
-210.53086,41.93708
-210.33086,41.93708
-210.13086,41.93708
-209.93086,41.93708
-209.73086,41.93708
-209.53086,41.93708
-209.33086,41.93708
-209.13086,41.93708
-208.93086,41.93708
-208.73086,41.93708
-208.53086,41.93708
-208.33086,41.93708
-208.13086,41.93708
-207.93086,41.93708
-207.73086,41.93708
-207.53086,41.93708
-207.33086,41.93708
-207.13086,41.93708
-206.93086,41.93708
-206.73086,41.93708
-206.53086,41.93708
-206.33086,41.93708
-206.13086,41.93708
-205.93086,41.93708
-205.73086,41.93708
-205.53086,41.93708
-205.33086,41.93708
-205.13086,41.93708
-204.93086,41.93708
-204.73086,41.93708
-204.53086,41.93708
-204.33086,41.93708
-204.13086,41.93708
-203.93086,41.93708
-203.73086,41.93708
-203.53086,41.93708
-203.33086,41.93708
-203.13086,41.93708
-202.93086,41.93708
-202.73086,41.93708
-202.53086,41.93708
-202.33086,41.93708
-202.13086,41.93708
-201.93086,41.93708
-201.73086,41.93708
-201.53086,41.93708
-201.33086,41.93708
-201.13086,41.93708
-200.93086,41.93708
-200.73086,41.93708
-200.53086,41.93708
-200.33086,41.93708
-200.13086,41.93708
-199.93086,41.93708
-199.73086,41.93708
-199.53086,41.93708
-199.33086,41.93708
-199.13086,41.93708
-198.93086,41.93708
-198.73086,41.93708
-198.53086,41.93708
-198.33086,41.93708
-198.13086,41.93708
-197.93086,41.93708
-197.73086,41.93708
-197.53086,41.93708
-197.33086,41.93708
-197.13086,41.93708
-196.93086,41.93708
-196.73086,41.93708
-196.53086,41.93708
-196.33086,41.93708
-196.13086,41.93708
-195.93086,41.93708
-195.73086,41.93708
-195.53086,41.93708
-195.33086,41.93708
-195.13086,41.93708
-194.93086,41.93708
-194.73086,41.93708
-194.53086,41.93708
-194.33086,41.93708
-194.13086,41.93708
-193.93086,41.93708
-193.73086,41.93708
-193.53086,41.93708
-193.33086,41.93708
-193.13086,41.93708
-192.93086,41.93708
-192.73086,41.93708
-192.53086,41.93708
-192.33086,41.93708
-192.13086,41.93708
-191.93086,41.93708
-191.73086,41.93708
-191.53086,41.93708
-191.33086,41.93708
-191.13086,41.93708
-190.93086,41.93708
-190.73086,41.93708
-190.53086,41.93708
-190.33086,41.93708
-190.13086,41.93708
-189.93086,41.93708
-189.73086,41.93708
-189.53086,41.93708
-189.33086,41.93708
-189.13086,41.93708
-188.93086,41.93708
-188.73086,41.93708
-188.53086,41.93708
-188.33086,41.93708
-188.13086,41.93708
-187.93086,41.93708
-187.73086,41.93708
-187.53086,41.93708
-187.33086,41.93708
-187.13086,41.93708
-186.93086,41.93708
-186.73086,41.93708
-186.53086,41.93708
-186.33086,41.93708
-186.13086,41.93708
-185.93086,41.93708
-185.73086,41.93708
-185.53086,41.93708
-185.33086,41.93708
-185.13086,41.93708
